FloodScore,Occurrences,AverageTimestamp,StdDevTimestamp,FirstIndex,scope,source,field,value,signature
0.00010504709479486748,104,1699569287,990032.1394236345,28723,hosts,bgjkx.sgzn.isa.kja,loginfrom,zsad_0989_.,@784.8.771.802
0.00010298500312618558,1262,1699922445,12254211.406428713,120111,hosts,fdi788.sgzn.isa.kja,userlogin,hhaqn,@784.8.771.88
0.00010018002814658201,105,1703613639,1048113.1014094494,32645,hosts,fdi3.sgzn.isa.kja,loginfrom,739.37.725.30,@784.8.779.788
9.977493398105379e-05,1036,1705490811,10383369.436222583,119465,hosts,ynkhg.inks.isa.kja,userlogin,eocktcgt,@784.8.884.79
9.637356536431594e-05,1258,1703568077,13053372.00345809,120233,hosts,wck7.sgzn.isa.kja,userlogin,qoyyrotm,@784.8.98.719
9.066475573376468e-05,129,1721655041,1422824.1057507067,72578,hosts,jgsoto.vney.isa.kja,loginfrom,80.9.18.777,@784.8.778.58
8.833390085969368e-05,161,1717990370,1822629.799353325,63631,hosts,ingxs0.vney.isa.kja,loginfrom,738.82.71.811,@784.8.779.886
8.571486419806154e-05,442,1716425465,5156631.864674831,120084,hosts,yatyvkgx.inks.isa.kja,userlogin,xusgt,@784.8.882.879
7.920612209454374e-05,299,1706639372,3774960.723908451,44054,hosts,haxmkxy.sgzn.isa.kja,loginfrom,30.765.810.03,@784.8.771.37
7.874925293293729e-05,422,1717727610,5358780.995159083,118977,hosts,t68.rgt,userlogin,dogtminy,@784.8.80.720
7.723525569934381e-05,732,1695031105,9477537.082928555,38247,hosts,wck7.sgzn.isa.kja,loginfrom,52.891.83.772,@784.8.98.719
7.495393700297438e-05,621,1703989834,8285088.480080199,56566,hosts,fdi788.sgzn.isa.kja,loginfrom,54.895.727.881,@784.8.771.88
7.182992570133504e-05,895,1701874815,12459987.82904721,120055,hosts,wck1.sgzn.isa.kja,userlogin,zhunsgt,@784.8.98.713
7.110605049083698e-05,401,1690796488,5639463.832289131,44927,hosts,wck1.sgzn.isa.kja,userlogin,mxkmmu,@784.8.98.713
7.091559800518082e-05,300,1720207853,4230381.022494983,118978,hosts,t68.rgt,loginfrom,zsad_7486038_.,@784.8.80.720
6.48834299943632e-05,711,1709977290,10958113.651848687,120011,hosts,iusvikrr.vney.isa.kja,userlogin,dotfnoro,@784.8.770.09
6.467590638620786e-05,464,1710968111,7174232.6613755515,70504,hosts,haxmkxy.sgzn.isa.kja,loginfrom,X7,@784.8.771.37
6.381687167221599e-05,354,1716758670,5547122.425841524,118136,hosts,jgsoto.vney.isa.kja,userlogin,xbkozgy,@784.8.778.58
6.289380069823307e-05,188,1704812084,2989165.830540778,103995,hosts,fdi3.sgzn.isa.kja,loginfrom,784.8.98.710,@784.8.779.788
6.2768879681273e-05,106,1684621046,1688734.9358192377,7138,hosts,rkmhg.sgzn.isa.kja,loginfrom,37.778.713.709,@784.8.770.819
6.240121471465568e-05,140,1707291201,2243546.06941841,42854,hosts,rkmhg.sgzn.isa.kja,loginfrom,52.892.793.774,@784.8.770.819
6.234267888310919e-05,141,1700748501,2261692.993083777,31240,hosts,rkmhg.sgzn.isa.kja,loginfrom,30.54.803.45,@784.8.770.819
6.106635682247469e-05,155,1697148095,2538222.4855921688,28652,hosts,wck1.sgzn.isa.kja,loginfrom,739.31.71.761,@784.8.98.713
6.094567947296848e-05,814,1701604627,13356155.957881104,120218,hosts,totpg.inks.isa.kja,userlogin,zuskq,@784.8.884.79
6.078015445023386e-05,222,1718620778,3652507.993900727,120228,hosts,rkmhg.sgzn.isa.kja,loginfrom,38.51.801.768,@784.8.770.819
5.96796957479532e-05,395,1712076015,6618666.450114184,91143,hosts,wck1.sgzn.isa.kja,loginfrom,52.892.861.742,@784.8.98.713
5.9449525094553016e-05,337,1717918561,5668674.383252175,120242,hosts,fdi3.sgzn.isa.kja,loginfrom,766.2.702.721,@784.8.779.788
5.901748257560971e-05,796,1701696107,13487528.868758708,120220,hosts,ynkhg.inks.isa.kja,userlogin,zuskq,@784.8.884.79
5.843314608944042e-05,868,1704834852,14854582.682770493,120053,hosts,wck7.sgzn.isa.kja,userlogin,psgiqke,@784.8.98.719
5.8399043278166215e-05,176,1719045303,3013748.0020293677,71151,hosts,jgsoto.vney.isa.kja,loginfrom,738.82.84.895,@784.8.778.58
5.557206942560902e-05,130,1718903316,2339304.6424881327,67300,hosts,ingxs0.vney.isa.kja,loginfrom,738.82.84.810,@784.8.779.886
5.4574283433802974e-05,356,1714669523,6523218.952234484,120017,hosts,iusvikrr.vney.isa.kja,userlogin,rigxvktz,@784.8.770.09
5.395741263854112e-05,116,1719416837,2149843.632738287,67533,hosts,yatyvkgx.inks.isa.kja,loginfrom,54.777.861.757,@784.8.882.879
5.391938331675084e-05,107,1720811678,1984444.0610795876,118913,hosts,t67.rgt,userlogin,gpynkt,@784.8.80.729
5.3525971478537494e-05,635,1699077906,11863399.81245587,119909,hosts,bgjkx.sgzn.isa.kja,userlogin,xuuz,@784.8.771.802
5.2909028666586965e-05,396,1711275097,7484544.8873281125,119958,hosts,ikxhkxay.ngmxoj.vney.ruigr,userlogin,ylmgrrgm,@784.8.771.875
5.288246758279455e-05,594,1705484741,11232456.183517039,102208,hosts,totpg.inks.isa.kja,userlogin,rkzoiogs,@784.8.884.79
5.2047938070293087e-05,646,1706261138,12411634.811114859,90777,hosts,ynkhg.inks.isa.kja,userlogin,rkzoiogs,@784.8.884.79
5.057445543739293e-05,109,1720317012,2155238.2335571195,65738,hosts,wck7.sgzn.isa.kja,loginfrom,80.767.00.732,@784.8.98.719
5.054168464042531e-05,330,1714807724,6529263.959991799,120018,hosts,iusvikrr.vney.isa.kja,loginfrom,738.80.779.728,@784.8.770.09
4.974367468907624e-05,112,1719571018,2251542.5468676784,69727,hosts,totpg.inks.isa.kja,loginfrom,738.82.7.44,@784.8.884.79
4.961889463629837e-05,260,1716149697,5239939.380064278,70951,hosts,jgsoto.vney.isa.kja,userlogin,gjqos8,@784.8.778.58
4.9502921311223304e-05,194,1687116994,3918960.636289081,13071,hosts,wck1.sgzn.isa.kja,loginfrom,38.21.895.863,@784.8.98.713
4.752983523986135e-05,157,1717951262,3303188.3912008693,67299,hosts,ingxs0.vney.isa.kja,userlogin,zhxuiq,@784.8.779.886
4.7200698326490535e-05,101,1719129161,2139798.8500376823,66684,hosts,ynkhg.inks.isa.kja,loginfrom,738.82.7.44,@784.8.884.79
4.507325002379321e-05,487,1709290125,10804634.672292836,119764,hosts,iusvikrr.vney.isa.kja,loginfrom,16.887.881.753,@784.8.770.09
4.33617774168447e-05,140,1704220723,3228649.9387272433,103991,hosts,wck8.sgzn.isa.kja,userlogin,psgiqke,@784.8.98.710
4.32991863049445e-05,117,1696175833,2702129.300444598,28527,hosts,wck7.sgzn.isa.kja,loginfrom,766.2.720.872,@784.8.98.719
4.1729980234154744e-05,106,1721368618,2540140.191900742,70930,hosts,ynkhg.inks.isa.kja,loginfrom,738.82.80.893,@784.8.884.79
4.049924913565627e-05,276,1715588187,6814941.162872192,119982,hosts,iusvikrr.vney.isa.kja,userlogin,pqxgzf,@784.8.770.09
3.916700772230222e-05,438,1706130307,11182881.345071375,120060,hosts,tuzuxouay.vney.isa.kja,userlogin,xixulz,@784.8.770.885
3.9044276947464284e-05,115,1716679657,2945374.046873434,120240,hosts,nkgjtujk.cxomnz.nyy.isa.kja,userlogin,eocktw,@784.8.80.77
3.7986685825078415e-05,109,1716609236,2869426.4222450103,119300,hosts,nkgjtujk.cxomnz.nyy.isa.kja,loginfrom,zsad_8879104_.,@784.8.80.77
3.762410109401172e-05,326,1709781342,8664658.836244898,119669,hosts,ikxhkxay.ngmxoj.vney.ruigr,userlogin,sgrgboqb,@784.8.771.875
3.6393880933622824e-05,171,1719157485,4698592.060348806,120274,hosts,nkgjtujk.cxomnz.nyy.isa.kja,userlogin,gxkotngx,@784.8.80.77
3.5907627633764283e-05,178,1711769571,4957164.026971944,57012,hosts,tuzuxouay.vney.isa.kja,loginfrom,37.801.742.701,@784.8.770.885
3.5364059018103246e-05,130,1718586032,3676048.6100719264,119203,hosts,nkgjtujk.cxomnz.nyy.isa.kja,userlogin,yngugtdo,@784.8.80.77
3.450020258411277e-05,154,1716901415,4463741.904834973,65398,hosts,jgsoto.vney.isa.kja,loginfrom,54.895.728.799,@784.8.778.58
3.448079680719069e-05,275,1704287462,7975453.744231658,61463,hosts,rotd9.vney.isa.kja,userlogin,xuuz,@784.8.778.80
3.402407998503326e-05,232,1711794185,6818700.17064543,119564,hosts,ikxhkxay.ngmxoj.vney.ruigr,loginfrom,37.26.897.894,@784.8.771.875
3.307651357003754e-05,113,1711779504,3416321.365331605,55181,hosts,jgsoto.vney.isa.kja,loginfrom,739.31.71.77,@784.8.778.58
3.3027200336704224e-05,345,1707518801,10445935.364875298,120074,hosts,iusvikrr.vney.isa.kja,userlogin,lbkxjamu,@784.8.770.09
3.230678719699945e-05,231,1689093892,7150200.315228329,62780,hosts,wck1.sgzn.isa.kja,loginfrom,784.8.778.22,@784.8.98.713
3.0955501369602015e-05,407,1709986682,13147905.2831517,119728,hosts,xark-rgh-ykxbkx.hou.isa.kja,userlogin,muxjut7,@784.8.881.734
3.060970804511854e-05,244,1709133996,7971327.254750203,120002,hosts,fdi879.sgzn.isa.kja,userlogin,itkcyzkg,@784.8.772.733
2.8793267798670745e-05,297,1706366523,10314911.18259634,101219,hosts,yzxgtmk.vney.isa.kja,userlogin,xhxokxk,@784.8.770.881
2.7977727310125513e-05,335,1705286318,11973810.320138441,73082,hosts,rkmhg.sgzn.isa.kja,loginfrom,X7,@784.8.770.819
2.7496718496979573e-05,119,1718345913,4327789.151024395,119751,hosts,wck7.sgzn.isa.kja,loginfrom,766.2.702.721,@784.8.98.719
2.5719953624475e-05,209,1708998144,8125986.6581219835,120001,hosts,fdi879.sgzn.isa.kja,loginfrom,X7,@784.8.772.733
2.523012956448975e-05,220,1709335673,8719733.26326631,101220,hosts,yzxgtmk.vney.isa.kja,loginfrom,30.54.884.3,@784.8.770.881
2.4840953796069553e-05,236,1709976467,9500440.358990602,118426,hosts,tuzuxouay.vney.isa.kja,userlogin,vyngc8,@784.8.770.885
2.3986588119166398e-05,101,1683648292,4210686.384333932,11890,hosts,wck7.sgzn.isa.kja,loginfrom,739.31.12.871,@784.8.98.719
2.2811331108020195e-05,180,1716197841,7890815.277181002,118761,hosts,rotd9.vney.isa.kja,userlogin,houvneyoioyzy,@784.8.778.80
2.2285306573400486e-05,132,1716221846,5923185.286468253,120051,hosts,t67.rgt,loginfrom,758.724.7.810,@784.8.80.729
2.2138231437655746e-05,104,1715623951,4697755.567913275,73137,hosts,iusvikrr.vney.isa.kja,loginfrom,717.867.785.897,@784.8.770.09
2.1800245422494103e-05,240,1702323001,11009050.372999988,120059,hosts,wck9.sgzn.isa.kja,userlogin,gl7v,@784.8.98.711
2.1070549591783145e-05,206,1692984287,9776679.013647255,37904,hosts,wck8.sgzn.isa.kja,userlogin,cn71,@784.8.98.710
2.0365606528021362e-05,140,1699972917,6874334.913982148,45665,hosts,totpg.inks.isa.kja,loginfrom,30.777.742.817,@784.8.884.79
1.9961830501295665e-05,108,1707718374,5410325.470551913,119972,hosts,fdi771.sgzn.isa.kja,reboot,784.8.774.730,@784.8.774.730
1.9961830469715675e-05,108,1707718374,5410325.47911115,119971,hosts,fdi771.sgzn.isa.kja,os,Uhatza-86.60,@784.8.774.730
1.8946044414910383e-05,156,1700243569,8233908.703245162,45916,hosts,ynkhg.inks.isa.kja,loginfrom,30.777.742.817,@784.8.884.79
1.8910778736498443e-05,113,1708515849,5975428.171125824,119979,hosts,fdi771.sgzn.isa.kja,userlogin,fkeafnkt,@784.8.774.730
1.8910778736498443e-05,113,1708515849,5975428.171125824,119978,hosts,fdi771.sgzn.isa.kja,loginfrom,X6,@784.8.774.730
1.8856779772116364e-05,157,1696848436,8325917.887218308,37905,hosts,wck8.sgzn.isa.kja,loginfrom,X6,@784.8.98.710
1.8055663553911344e-05,177,1707132291,9803018.286838703,95249,hosts,totpg.inks.isa.kja,loginfrom,38.51.809.788,@784.8.884.79
1.595804240319027e-05,119,1703731277,7457055.00670997,69223,hosts,fdi775.sgzn.isa.kja,DefaultPrinter,jiujk,@784.8.771.19
1.595804238965229e-05,119,1703731277,7457055.0130361505,69221,hosts,fdi775.sgzn.isa.kja,groupOS,cknyzaj,@784.8.771.19
1.595804238965229e-05,119,1703731277,7457055.0130361505,69220,hosts,fdi775.sgzn.isa.kja,os,Uhatza-88.60,@784.8.771.19
1.595804238965229e-05,119,1703731277,7457055.0130361505,69219,hosts,fdi775.sgzn.isa.kja,reboot,784.8.771.19,@784.8.771.19
1.56460092191453e-05,116,1703958568,7414031.167644728,69222,hosts,fdi775.sgzn.isa.kja,etobBKP,ktghrkj,@784.8.771.19
1.4968515483504994e-05,160,1711367307,10689102.748787401,95370,hosts,ynkhg.inks.isa.kja,loginfrom,38.51.809.788,@784.8.884.79
1.485278002861262e-05,179,1702381558,12051615.903229678,118419,hosts,nevgzog.sgzn.isa.kja,userlogin,tukrc,@784.8.770.805
1.482033299460072e-05,126,1703749891,8501833.261499844,70602,hosts,ynkhg.inks.isa.kja,userlogin,ihoxin,@784.8.884.79
1.436163354898625e-05,145,1700167057,10096344.507427929,120058,hosts,wck9.sgzn.isa.kja,loginfrom,784.8.779.777,@784.8.98.711
1.309971092009327e-05,105,1705238824,8015444.053726676,70936,hosts,fdi78.sgzn.isa.kja,loginfrom,X7,@784.8.779.793
1.2683064797401506e-05,104,1708987598,8199910.799265759,72429,hosts,ikxhkxay.ngmxoj.vney.ruigr,loginfrom,37.26.97.770,@784.8.771.875
1.2519140775542162e-05,142,1700986140,11342631.458974903,119295,hosts,wck5.sgzn.isa.kja,loginfrom,X6,@784.8.98.727
1.2318441032941441e-05,161,1694511618,13069835.669096502,119791,hosts,karkxy.vney.isa.kja,userlogin,xuuz,@784.8.779.744
1.2035223989995282e-05,115,1703267008,9555285.393574554,73099,hosts,wck7.sgzn.isa.kja,loginfrom,784.8.865.788,@784.8.98.719
1.1619898281059393e-05,103,1719402610,8864105.13316554,73666,hosts,totpg.inks.isa.kja,loginfrom,738.80.883.03,@784.8.884.79
1.1063614432334964e-05,199,1707815114,17986888.572182577,120259,hosts,otlu.siy.isa.kja,userlogin,xuuz,@784.8.773.51
1.0827202502145081e-05,105,1707299564,9697795.89688079,71510,hosts,totpg.inks.isa.kja,userlogin,ihoxin,@784.8.884.79
1.0071371713463767e-05,127,1695794925,12610000.267413614,119793,hosts,raie.inks.isa.kja,userlogin,xuuz,@784.8.884.79
9.961659602517362e-06,172,1709883346,17266199.29439616,120258,hosts,otlu.siy.isa.kja,loginfrom,784.8.98.701,@784.8.773.51
9.720110390752552e-06,125,1692306343,12859936.253287986,90773,hosts,ynkhg.inks.isa.kja,userlogin,xuuz,@784.8.884.79
9.23098772660912e-06,169,1695526326,18307899.978335243,103500,hosts,wck9.sgzn.isa.kja,userlogin,zhunsgt,@784.8.98.711
